Year,Month,ZIP,Customer Type,Monthly Usage (kWh)
2015,10,"37203
(36.150195, -86.790206)",COMMERCIAL,2104036
2015,10,"37075
(36.323052, -86.60557)",OUTDOOR LIGHTING,92307
2015,10,"37221
(36.064367, -86.96029)",COMMERCIAL,839105
2015,10,"37219
(36.167467, -86.783669)",RESIDENTIAL,18556
2015,10,"37212
(36.133256, -86.801456)",RESIDENTIAL,1411432
2015,10,"37066
(36.387698, -86.459057)",COMMERCIAL,42589
2015,10,"37213
(36.167552, -86.767564)",COMMERCIAL,3060299
2015,10,"37208
(36.176427, -86.805176)",COMMERCIAL,857003
2015,10,"37135
(35.946013, -86.661944)",COMMERCIAL,1912
2015,10,"37217
(36.106646, -86.667608)",RESIDENTIAL,1989513
2015,10,"37210
(36.140869, -86.738847)",SEASONAL CUSTOMER,0
2015,10,"37205
(36.112469, -86.867263)",RESIDENTIAL,6839759
2015,10,"37189
(36.279393, -86.826731)",COMMERCIAL,931505
2015,10,"37064
(35.889628, -86.926986)",RESIDENTIAL,3419
2015,10,"37143
(36.12259, -87.03587)",COMMERCIAL,19635
2015,10,"37215
(36.091316, -86.827959)",COMMERCIAL,5477414
2015,10,"37066
(36.387698, -86.459057)",RESIDENTIAL,340879
2015,10,"37228
(36.193837, -86.803025)",COMMERCIAL,4993408
2015,10,"37122
(36.187906, -86.500085)",COMMERCIAL,3923
2015,10,"37075
(36.323052, -86.60557)",RESIDENTIAL,6049292
2015,10,"37072
(36.350389, -86.731255)",RESIDENTIAL,4432527
2015,10,"37218
(36.210699, -86.866798)",COMMERCIAL,7045096
2015,10,"37228
(36.193837, -86.803025)",COMMERCIAL,192265
2015,10,"37189
(36.279393, -86.826731)",OUTDOOR LIGHTING,0
2015,10,"37086
(36.014912, -86.5643)",OUTDOOR LIGHTING,28724
2015,10,"37027
(36.00245, -86.778709)",RESIDENTIAL,6308434
2015,10,"37207
(36.224945, -86.775061)",OUTDOOR LIGHTING,4989
2015,10,"37212
(36.133256, -86.801456)",OUTDOOR LIGHTING,63214
2015,10,"37219
(36.167467, -86.783669)",COMMERCIAL,5892163
2015,1,"37212
(36.133256, -86.801456)",RESRESIDENTIAL                SRSRESID. SUPPL.,1938794
2015,1,"37115
(36.262567, -86.704171)",RESRESIDENTIAL                SRSRESID. SUPPL.,10033304
2015,1,"37075
(36.323052, -86.60557)",OLMOLB METERED,38679
2015,1,"37143
(36.12259, -87.03587)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,32918
2015,1,"37080
(36.331509, -86.915843)",COMCOMM > 50 KW,554368
2015,1,"37221
(36.064367, -86.96029)",OLMOLB METERED,10772
2015,1,"37122
(36.187906, -86.500085)",RESRESIDENTIAL                SRSRESID. SUPPL.,738591
2015,1,"37207
(36.224945, -86.775061)",RESRESIDENTIAL                SRSRESID. SUPPL.,12621226
2015,1,"37209
(36.149599, -86.874487)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,2259679
2015,1,"37205
(36.112469, -86.867263)",COMCOMM > 50 KW,8866852
2015,1,"37206
(36.18095, -86.739624)",COMCOMM > 50 KW,3155663
2015,1,"37075
(36.323052, -86.60557)",RESRESIDENTIAL                SRSRESID. SUPPL.,9493949
2015,1,"37215
(36.091316, -86.827959)",COMCOMM > 50 KW,5051575
2015,1,"37220
(36.06788, -86.776955)",COMCOMM > 50 KW,1431558
2015,1,"37203
(36.150195, -86.790206)",RESRESIDENTIAL                SRSRESID. SUPPL.,1352721
2015,1,"37213
(36.167552, -86.767564)",COMCOMM > 50 KW,3873483
2015,1,"37086
(36.014912, -86.5643)",RESRESIDENTIAL                SRSRESID. SUPPL.,4977930
2016,2,37217,COMMERCIAL,10307785
2016,2,37217,COMMERCIAL,1339344
2015,1,"37212
(36.133256, -86.801456)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,968547
2015,1,"37069
(35.985493, -86.899213)",RESRESIDENTIAL                SRSRESID. SUPPL.,560112
2015,1,"37086
(36.014912, -86.5643)",SEASEAS =< 50 KW,0
2015,1,"37214
(36.168995, -86.667231)",RESRESIDENTIAL                SRSRESID. SUPPL.,7821864
2015,1,"37073
(36.42764, -86.812249)",RESRESIDENTIAL                SRSRESID. SUPPL.,117914
2015,1,"37072
(36.350389, -86.731255)",COMCOMM > 50 KW,8714083
2015,1,"37210
(36.140869, -86.738847)",COMCOMM > 50 KW,22466849
2015,1,"37204
(36.109305, -86.776748)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1542545
2015,1,"37115
(36.262567, -86.704171)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1957161
2015,1,"37075
(36.323052, -86.60557)",COMCOMM > 50 KW,8598748
2015,1,"37219
(36.167467, -86.783669)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,274396
2015,1,"37086
(36.014912, -86.5643)",OLMOLB METERED,6453
2015,1,"37221
(36.064367, -86.96029)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1039921
2015,1,"37218
(36.210699, -86.866798)",RESRESIDENTIAL                SRSRESID. SUPPL.,6851967
2015,1,"37227
(36.129798, -86.666977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,421
2015,1,"37220
(36.06788, -86.776955)",RESRESIDENTIAL                SRSRESID. SUPPL.,2564663
2015,1,"37217
(36.106646, -86.667608)",RESRESIDENTIAL                SRSRESID. SUPPL.,4425376
2015,1,"37073
(36.42764, -86.812249)",OLMOLB METERED,0
2015,1,"37211
(36.069132, -86.724578)",OLMOLB METERED,1300
2015,1,"37201
(36.164553, -86.776977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,231534
2015,1,"37211
(36.069132, -86.724578)",RESRESIDENTIAL                SRSRESID. SUPPL.,10179636
2015,1,"37080
(36.331509, -86.915843)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,271851
2015,1,"37122
(36.187906, -86.500085)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,5516
